,Text (IPCC report),Text (IPCC mentions),Distance,Ratio,Matching Text
514,Downscaling Downscalling is a method that derives local- to regional-scale (up to 100 km) information from larger-scale models or data analyses.,Downscaling is a method that derives local to regional-scale (up to 100 km) information from larger scale models or data analyses.,15,0.9416058394160584,"['Downscaling ', 's a method that derives local', ' to regional-scale (up to 100 km) information from larger', 'scale models or data analyses.']"
515,"The dynamical method uses the output of regional climate models, global models with variable spatial resolution, or high-resolution global models.","The dynamical method uses the output of regional climate models, global models with variable spatial resolution, or high-resolution global models.",0,1.0,"['The dynamical method uses the output of regional climate models, global models with variable spatial resolution, or high-resolution global models.']"
516,The empirical/statistical methods are based on observations and develop statistical relationships that link the large-scale atmospheric variables with local/regional climate variables.,The empirical/statistical methods are based on observations and develop statistical relationships that link the large-scale atmospheric variables with local/ regional climate variables.,1,0.997289972899729,"['The empirical/statistical methods are based on observations and develop statistical relationships that link the large-scale atmospheric variables with local/', 'regional climate variables.']"
517,"In all cases, the quality of the driving model remains an important limitation on quality of the downscaled information.","In all cases, the quality of the driving model remains an important limitation on quality of the downscaled information.",0,1.0,"['In all cases, the quality of the driving model remains an important limitation on quality of the downscaled information.']"
518,"The two methods can be combined, e.g., applying empirical/statistical downscaling to the output of a regional climate model consisting of a dynamical downscaling of a global climate model.","The two methods can be combined, e.g, applying empirical/ statistical downscaling to the output of a regional climate model, consisting of a dynamical downscaling of a global climate model (IPCC, 2018, p.547).",23,0.9420654911838791,"['The two methods can be combined, e.g', ', applying empirical/', 'statistical downscaling to the output of a regional climate model', ' consisting of a dynamical downscaling of a global climate model']"
519,"Disaster Severe alterations in the normal functioning of a community or a society due to hazardous physical events interacting with vulnerable social conditions, leading to widespread adverse human, material, economic or environmental effects that require immediate emergency response to satisfy critical human needs and that may require external support for recovery.","Disasters are severe alterations in the normal functioning of a community or a society due to hazardous physical events interacting with vulnerable social conditions, leading to widespread adverse human, material, economic or environmental effects that require immediate emergency response to satisfy critical human needs and that may require external support for recovery (IPCC, 2018, p.547).",26,0.9645203679369251,"['Disaster', 'vere alterations in the normal functioning of a community or a society due to hazardous physical events interacting with vulnerable social conditions, leading to widespread adverse human, material, economic or environmental effects that require immediate emergency response to satisfy critical human needs and that may require external support for recovery']"
520,"A megadrought is a very lengthy and pervasive drought, lasting much longer than normal, usually a decade or more.","A megadrought is a very lengthy and pervasive drought, lasting much longer than normal, usually a decade or more (IPCC, 2018, p.547).",20,0.9186991869918699,"['A megadrought is a very lengthy and pervasive drought, lasting much longer than normal, usually a decade or more']"
521,"Emission scenario A plausible representation of the future development of emissions of substances that are radiatively active (e.g., greenhouse gases (GHGS), aerosols) based on a coherent and internally consistent set of assumptions about driving forces (such as demographic and socio-economic development, technological change, energy and land use) and their key relationships.","An emission scenario is a plausible representation of the future development of emissions of substances that are radiatively active (for example: greenhouse gases (GHGs), aerosols) based on a coherent and internally consistent set of assumptions about driving forces (such as demographic and socio-economic development, technological change, energy and land use) and their key relationships.",20,0.9648894668400521,"['mission scenario ', 'plausible representation of the future development of emissions of substances that are radiatively active (', ' greenhouse gases (GHG', '), aerosols) based on a coherent and internally consistent set of assumptions about driving forces (such as demographic and socio-economic development, technological change, energy and land use) and their key relationships.']"
522,"Emission scenario A plausible representation of the future development of emissions of substances that are radiatively active (e.g., greenhouse gases (GHGS), aerosols) based on a coherent and internally consistent set of assumptions about driving forces (such as demographic and socio-economic development, technological change, energy and land use) and their key relationships.","Emissions scenario - A plausible representation of the future development of emissions of substances that are potentially radiatively active (eg, greenhouse gases, aerosols), based on a coherent and internally consistent set of assumptions about driving forces (such as demographic and socio-economic development, technological change) and their key relationships.",46,0.9380053908355795,"['Emission', ' scenario ', 'A plausible representation of the future development of emissions of substances that are ', 'radiatively active (e', ', greenhouse gases', ', aerosols)', ' based on a coherent and internally consistent set of assumptions about driving forces (such as demographic and socio-economic development, technological chang', 'e) and their key relationships.']"
523,"Concentration scenarios, derived from emission scenarios, are often used as input to a climate model to compute climate projections.","Concentration scenarios, derived from emission scenarios, are often used as input for a climate model to compute climate projections (IPCC, 2018, p.548).",22,0.9192982456140351,"['Concentration scenarios, derived from emission scenarios, are often used as input ', ' a climate model to compute climate projections']"
524,Extreme weather event An extreme weather event is an event that is rare at a particular place and time of year.,"120 IPCC ARS: ""An extreme weather event is an event that is rare at a particular place and time of year.",20,0.8558139534883721,['An extreme weather event is an event that is rare at a particular place and time of year.']
525,Extreme weather event An extreme weather event is an event that is rare at a particular place and time of year.,"10 IPCC ARS: ""An extreme weather event is an event that is rare at a particular place and time of year.",20,0.8598130841121495,['An extreme weather event is an event that is rare at a particular place and time of year.']
526,"Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.","Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.",0,1.0,"['Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.']"
527,"Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.","Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or goth percentile of a probability density function estimated from observations.",2,0.9893617021276596,"['Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or ', 'th percentile of a probability density function estimated from observations.']"
528,"Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.","Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.",0,1.0,"['Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.']"
529,"Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90th percentile of a probability density function estimated from observations.","Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90 percentile of a probability density function estimated from observations.",2,0.9946524064171123,"['Definitions of rare vary, but an extreme weather event would normally be as rare as or rarer than the 10th or 90', ' percentile of a probability density function estimated from observations.']"
530,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
531,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
532,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
533,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
534,"When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., drought or heavy rainfall over a season).","When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (eg, drought or heavy rainfall over a season).""",3,0.9936842105263158,"['When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e', ', drought or heavy rainfall over a season).']"
535,"When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., drought or heavy rainfall over a season).","When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (for example, drought or heavy rainfall over a season) (IPCC, 2018, p.549).",30,0.9343936381709741,"['When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (', ', drought or heavy rainfall over a season']"
536,"When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., drought or heavy rainfall over a season).","When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., drought or heavy rainfall over a season).",0,1.0,"['When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., drought or heavy rainfall over a season).']"
537,"When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., drought or heavy rainfall over a season).","When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., drought or heavy rainfall over a season).""",1,0.9979035639412998,"['When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., drought or heavy rainfall over a season).']"
538,"Exposure The presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure; or economic, social, or cultural assets in places and settings that could be adversely affected.","For the IPCC (2014b), exposure is the presence of people, their livelihoods, species and ecosystems, environmental functions, services and resources, infrastructure or economic, social or cultural assets in places that could be adversely affected.",56,0.8661087866108786,"['xposure ', 'he presence of people', 'livelihoods', ' species ', ' ecosystems', ' environmental functions, services', ' and resources', ' infrastructure', ' or economic, social', ' or cultural assets in place', 's that could be adversely affected.']"
539,"Exposure The presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure; or economic, social, or cultural assets in places and settings that could be adversely affected.","Exposure refers to the presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure; or economic, social, or cultural assets in places and settings that could be adversely affected (IPCC, 2018, p.549).",31,0.9349593495934959,"['Exposure ', 'he presence of people; livelihoods; species or ecosystems; environmental functions, services, and resources; infrastructure; or economic, social, or cultural assets in places and settings that could be adversely affected']"
540,Mitigation (of climate change) A human intervention to reduce emissions or enhance the sinks of greenhouse gases.,Mitigation is an intervention to reduce the emissions sources or enhance the sinks of greenhouse gases.,35,0.8333333333333334,"['Mitigation ', 'intervention to reduce ', 'mission', 's or enhance the sinks of greenhouse gases.']"
541,"Ocean acidification (OA) Ocean acidification refers to a reduction in the pH of the ocean over an extended period, typically decades or longer, which is caused primarily by uptake of carbon dioxide (CO) from the atmosphere, but can also be caused by other chemical additions or subtractions from the ocean.","Ocean acidification refers to a reduction in the pH of the ocean over an extended period, typically decades or longer, which is caused primarily by uptake of carbon dioxide (CO2) from the atmosphere, but can also be caused by other chemical additions or subtractions from the ocean.",26,0.95578231292517,"['Ocean acidification ', 'refers to a reduction in the pH of the ocean over an extended period, typically decades or longer, which is caused primarily by uptake of carbon dioxide (CO', ') from the atmosphere, but can also be caused by other chemical additions or subtractions from the ocean.']"
542,"Anthropogenic ocean acidification refers to the component of pH reduction that is caused by human activity (IPCC, 2011, p. 37).","Anthropogenic ocean acidification refers to the component of pH reduction that is caused by human activity (IPCC, 2011, p. 37; IPCC, 2018, p.555).",19,0.9304029304029304,"['Anthropogenic ocean acidification refers to the component of pH reduction that is caused by human activity (IPCC, 2011, p. 37']"
543,"Projection A projection is a potential future evolution of a quantity or set of quantities, often computed with the aid of a model.","A projection is a potential future evolution of a quantity or set of quantities, often computed with the aid of a model.",11,0.9561752988047809,"['A projection is a potential future evolution of a quantity or set of quantities, often computed with the aid of a model.']"
544,"Unlike predictions, projections are conditional on assumptions concerning, for example, future socio-economic and technological developments that may or may not be realized.","Unlike predictions, projections are conditional on assumptions concerning, for example, future socio-economic and technological developments that may or may not be realised (IPCC, 2018, p.556).",21,0.9398907103825137,"['Unlike predictions, projections are conditional on assumptions concerning, for example, future socio-economic and technological developments that may or may not be reali']"
545,9 Risk The potential for adverse consequences where something of value is at stake and where the occurrence and degree of an outcome is uncertain.,Risk is the potential for adverse consequences where something of value is at stake and where the occurrence and degree of an outcome is uncertain.,6,0.9761092150170648,['he potential for adverse consequences where something of value is at stake and where the occurrence and degree of an outcome is uncertain.']
546,"In the context of the assessment of climate impacts, the term risk is often used to refer to the potential for adverse consequences of a climate-related hazard, or of adaptation or mitigation responses to such a hazard, on lives, livelihoods, health and well-being, ecosystems and species, economic, social and cultural assets, services (including ecosystem services), and infrastructure.","In the context of the assessment of climate impacts, the term risk is often used to refer to the potential for adverse consequences of a climate-related hazard, or of adaptation or mitigation responses to such a hazard on lives and livelihoods; health and well-being; ecosystems and species; economic, social and cultural assets; services (including ecosystem services); and infrastructure.",10,0.9794344473007712,"['In the context of the assessment of climate impacts, the term risk is often used to refer to the potential for adverse consequences of a climate-related hazard, or of adaptation or mitigation responses to such a hazard', ' on lives', ' livelihoods', ' health and well-being', ' ecosystems and species', ' economic, social and cultural assets', ' services (including ecosystem services)', ' and infrastructure.']"
547,"Risk results from the interaction of vulnerability (of the affected system), its exposure over time (to the hazard), as well as the (climate-related) hazard and the likelihood of its occurrence.","Risk results from the interaction of vulnerability (of the affected system), its exposure over time (to the hazard), as well as the (climate-related) hazard and the likelihood of its occurrence.",0,1.0,"['Risk results from the interaction of vulnerability (of the affected system), its exposure over time (to the hazard), as well as the (climate-related) hazard and the likelihood of its occurrence.']"
548,"Technology transfer The exchange of knowledge, hardware and associated software, money and goods among stakeholders, which leads to the spread of technology for adaptation or mitigation.","The exchange of knowledge, hardware and associated software, money and goods among stakeholders, which leads to the spreading of technology for adaptation or mitigation, is a critical part of technology transfer process.",74,0.8177339901477833,"['xchange of knowledge, hardware and associated software, money and goods among stakeholders, which leads to the spread', ' of technology for adaptation or mitigation']"
549,The term encompasses both diffusion of technologies and technological cooperation across and within countries.,"The term encompasses both the diffusion of technologies and technological cooperation within countries (IPCC, 2018b).",29,0.8722466960352423,"['The term encompasses both ', 'diffusion of technologies and technological cooperation ', 'within countries']"
550,The term encompasses both diffusion of technologies and technological cooperation across and within countries.,"The latter includes both diffusion of technologies and technological cooperation across and within countries (IPCC, 2007).",24,0.8793103448275862,['es both diffusion of technologies and technological cooperation across and within countries']
551,The Convention's ultimate objective is the 'stabilisation of greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate,"The ultimate objective of the UNFCCC is to ""stabilize greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system"" (UN, 1992: p. 9).",61,0.8287841191066998,"['ultimate objective ', ' greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate']"
552,The Convention's ultimate objective is the 'stabilisation of greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate,The United Nations Framework Convention on Climate Change (UNFCCC) objective is to stabilize greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system.,66,0.8301886792452831,"['Convention', 'imate ', 'objective is t', 'stabili', 'greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate']"
553,The Convention's ultimate objective is the 'stabilisation of greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate,"The ultimate objective of the UNFCCC is to ""stabilize greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system"" (UN, 1992: p. 9).",61,0.8287841191066998,"['ultimate objective ', ' greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate']"
554,Vulnerability encompasses a variety of concepts and elements including sensitivity or susceptibility to harm and lack of capacity to cope and adapt.,"Vulnerability encompasses a variety of concepts and elements including sensitivity or susceptibility to harm and lack of capacity to cope and adapt"" (Field et al.",14,0.9548387096774194,['Vulnerability encompasses a variety of concepts and elements including sensitivity or susceptibility to harm and lack of capacity to cope and adapt']
555,"COM ENV/EPOC/EA/SLT(200315, Organisation for Economic Co-operation and Development (OECD) International Energy Agency (IEA), Paris, France, 50 pp.","IPCC, Organization for Economic Cooperation and Development (OECD), and the International Energy Agency (IEA), Paris, France.",42,0.8339483394833949,"[', Organi', 'ation for Economic Co', 'operation and Development (OECD)', 'International Energy Agency (IEA), Paris, France']"
556,"Pörtner, D.C. Roberts, V. Masson-Delmotte, P. Zhai, M.Tignor, E. Poloczanska, K. Mintenbeck, A. Alegría, M. Nicolai, A. Okem, J. Petzold, B. Rama, N.M. Weyer (eds.","Pörtner, D.C. Roberts, V. Masson-Delmotte, P. Zhai, M. Tignor, E. Poloczanska, K. Mintenbeck, A. Alegría, M. Nicolai, A. Okem, J. Petzold, B. Rama, N.M. Weyer (eds.)].",4,0.9878787878787879,"['Pörtner, D.C. Roberts, V. Masson-Delmotte, P. Zhai, M.', 'Tignor, E. Poloczanska, K. Mintenbeck, A. Alegría, M. Nicolai, A. Okem, J. Petzold, B. Rama, N.M. Weyer (eds']"
557,"Adaptation In human systems, the process of adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities.","In human systems, adaptation is the process of adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities.",25,0.9244712990936556,"['In human systems,', ' the process of adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities.']"
558,"In natural systems, the process of adjustment to actual climate and its effects; human intervention may facilitate adjustment to expected climate and its effects.","In natural systems, it is the process of adjustment to actual climate and its effects; human intervention may facilitate adjustment to expected climate and its effects (IPCC, 2018, p.542)",25,0.9283667621776505,"['In natural systems, ', 'he process of adjustment to actual climate and its effects; human intervention may facilitate adjustment to expected climate and its effects']"
559,"Adaptive capacity The ability of systems, institutions, humans and other organisms to adjust to potential damage, to take advantage of opportunities, or to respond to consequences (MA 2005).","Adaptive capacity is the ability of systems, institutions, humans and other organisms to adjust to potential damage, to take advantage of opportunities or to respond to consequences.",15,0.956989247311828,"['Adaptive capacity ', 'he ability of systems, institutions, humans and other organisms to adjust to potential damage, to take advantage of opportunities', ' or to respond to consequences']"
560,"Climate change A change in the state of the climate that can be identified (e.g., by using statistical tests) by changes in the mean and/ or the variability of its properties and that persists for an extended period, typically decades or longer.","Climate change refers to a change in the state of the climate that can be identified (for example, by using statistical tests) by changes in the mean and/ or the variability of its properties, and which persists for an extended period, typically decades or longer.",26,0.9351669941060904,"['Climate change ', 'change in the state of the climate that can be identified (', ', by using statistical tests) by changes in the mean and/ or the variability of its properties', ' persists for an extended period, typically decades or longer.']"
561,"Climate change may be due to natural internal processes or external forcings such as modulations of the solar cycles, volcanic eruptions and persistent anthropogenic changes in the composition of the atmosphere or in land use.","Climate change may be due to natural internal processes or external forcings such as modulations of the solar cycles, volcanic eruptions and persistent anthropogenic changes in the composition of the atmosphere or in land use.",0,1.0,"['Climate change may be due to natural internal processes or external forcings such as modulations of the solar cycles, volcanic eruptions and persistent anthropogenic changes in the composition of the atmosphere or in land use.']"
562,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.","he United Nations Framework Convention on Climate Change (UNFCCC) defines climate change in the following terms: A change of climate directly or indirectly attributable to human activity, which alters the composition of the global atmosphere and adds to the natural climate variability observed over comparable time periods.",101,0.8284023668639053,"['e United Nations Framework Convention on Climate Change (UNFCCC)', ' change of climate ', 'irectly ', ' to human activity', ' alters the composition of the global atmosphere and ', ' natural climate variability observed over comparable time periods.']"
563,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.","EXECUTIVE SUMMAR T he United Nations Framework Convention on Climate Change (UNFCCC) defines climate change as: ""change of climate that is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and that is in addition to natural climate variability observed over comparable period of time"".",59,0.8872832369942196,"['he United Nations Framework Convention on Climate Change (UNFCCC)', 'defines climate change as: ', 'change of climate ', ' is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and ', ' is in addition to natural climate variability observed over comparable ']"
564,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.","Under the UNFCCC, climate change is defined as ""a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods"".",88,0.8426073131955485,"[' the U', 'limate ', 'hange ', 'define', 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods']"
565,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.","Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: ""a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.""",2,0.9957446808510638,"['Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: ', 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.']"
566,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.","This usage differs from that in the United Nations Framework Convention on Climate Change (UNFCCC), where climate change refers to a change of climate that is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and that is addition to natural climate variability observed over comparable time periods.",68,0.8838526912181304,"['the United Nations Framework Convention on Climate Change (UNFCCC), ', 'climate change ', 'a change of climate ', ' is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and ', ' addition to natural climate variability observed over comparable time periods.']"
567,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.","This usage differs from that in the United Nations Framework Convention on Climate Change (UNFCCC), where climate change refers to a change of climate that is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and that is addition to natural climate variability observed over comparable time periods.",68,0.8838526912181304,"['the United Nations Framework Convention on Climate Change (UNFCCC), ', 'climate change ', 'a change of climate ', ' is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and ', ' addition to natural climate variability observed over comparable time periods.']"
568,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.","This usage differs from that in the United Nations Framework Convention on Climate Change (UNFCCC), where climate change refers to a change of climate that is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and that is addition to natural climate variability observed over comparable time periods.",68,0.8838526912181304,"['the United Nations Framework Convention on Climate Change (UNFCCC), ', 'climate change ', 'a change of climate ', ' is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and ', ' addition to natural climate variability observed over comparable time periods.']"
569,"Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods.","This usage differs from that in the United Nations Framework Convention on Climate Change (UNFCCC), where climate change refers to a change of climate that is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and that is addition to natural climate variability observed over comparable time periods.",68,0.8838526912181304,"['the United Nations Framework Convention on Climate Change (UNFCCC), ', 'climate change ', 'a change of climate ', ' is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and ', ' addition to natural climate variability observed over comparable time periods.']"
570,The UNFCCC thus makes a distinction between climate change attributable to human activities altering the atmospheric composition and climate variability attributable to natural causes.,"The UNFCCC thus makes a distinction between climate change attributable to human activities altering the atmospheric composition and climate variability attributable to natural causes (IPCC, 2018, p.544).",20,0.9484536082474226,['The UNFCCC thus makes a distinction between climate change attributable to human activities altering the atmospheric composition and climate variability attributable to natural causes']
571,"variability may be intrinsic, due to fluctuations of processes internal to the climate system (internal variability), or extrinsic, due to variations in natural or anthropogenic external forcing (forced variability).","Variability may be due to natural internal processes within the climate system (internal variability), or to variations in natural or anthropogenic external forcing (external variability).",57,0.8217821782178218,"['ariability may be ', 'due to ', ' processes ', 'he climate system (internal variability), or ', 'o variations in natural or anthropogenic external forcing (', ' variability).']"
572,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
573,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
574,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
575,"By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.","By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.",0,1.0,"['By definition, the characteristics of what is called extreme weather may vary from place to place in an absolute sense.']"
576,"When a pattern of extreme weather persists for some time, such as a season, it may be classified as an extreme dimate event, especially if it yields an average or total that is itself extreme (e.g., high temperature, drought, or heavy rainfall over a season).","When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (eg, drought or heavy rainfall over a season).""",27,0.9435483870967742,"['When a pattern of extreme weather persists for some time, such as a season, it may be class', 'ed as an extreme ', 'imate event, especially if it yields an average or total that is itself extreme (e', 'drought', ' or heavy rainfall over a season).']"
577,"When a pattern of extreme weather persists for some time, such as a season, it may be classified as an extreme dimate event, especially if it yields an average or total that is itself extreme (e.g., high temperature, drought, or heavy rainfall over a season).","When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (for example, drought or heavy rainfall over a season) (IPCC, 2018, p.549).",44,0.9045801526717557,"['When a pattern of extreme weather persists for some time, such as a season, it may be class', 'ed as an extreme ', 'imate event, especially if it yields an average or total that is itself extreme (', 'e, drought', ' or heavy rainfall over a season']"
578,"When a pattern of extreme weather persists for some time, such as a season, it may be classified as an extreme dimate event, especially if it yields an average or total that is itself extreme (e.g., high temperature, drought, or heavy rainfall over a season).","When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., drought or heavy rainfall over a season).",24,0.9496981891348089,"['When a pattern of extreme weather persists for some time, such as a season, it may be class', 'ed as an extreme ', 'imate event, especially if it yields an average or total that is itself extreme (e.g., ', 'drought', ' or heavy rainfall over a season).']"
579,"When a pattern of extreme weather persists for some time, such as a season, it may be classified as an extreme dimate event, especially if it yields an average or total that is itself extreme (e.g., high temperature, drought, or heavy rainfall over a season).","When a pattern of extreme weather persists for some time, such as a season, it may be classed as an extreme climate event, especially if it yields an average or total that is itself extreme (e.g., drought or heavy rainfall over a season).""",25,0.9477911646586346,"['When a pattern of extreme weather persists for some time, such as a season, it may be class', 'ed as an extreme ', 'imate event, especially if it yields an average or total that is itself extreme (e.g., ', 'drought', ' or heavy rainfall over a season).']"
